DISTANCE (yards),TEE,FAIRWAY,ROUGH,SAND,RECOVERY
10,,2.20,2.49,2.41,
15,,2.30,2.54,2.47,
20,,2.40,2.59,2.53,
25,,2.45,2.64,2.59,
30,,2.50,2.69,2.67,
35,,2.55,2.74,2.76,
40,,2.60,2.78,2.82,
45,,2.62,2.82,2.9,
50,,2.65,2.85,2.98,
55,,2.67,2.88,3.07,
60,,2.70,2.91,3.15,
65,,2.72,2.92,3.17,
70,,2.73,2.93,3.19,
75,,2.74,2.95,3.22,
80,,2.75,2.96,3.24,
85,,2.77,2.97,3.24,
90,,2.78,2.99,3.23,
95,,2.79,3.01,3.23,
100,2.92,2.80,3.02,3.23,3.80
105,2.93,2.81,3.03,3.23,3.80
110,2.95,2.83,3.04,3.22,3.80
115,2.97,2.84,3.06,3.21,3.80
120,2.99,2.85,3.08,3.21,3.78
125,2.99,2.86,3.09,3.21,3.78
130,2.97,2.88,3.11,3.21,3.78
135,2.97,2.9,3.13,3.22,3.78
140,2.97,2.91,3.15,3.22,3.8
145,2.97,2.93,3.17,3.23,3.8
150,2.99,2.95,3.19,3.25,3.8
155,2.99,2.97,3.21,3.26,3.8
160,2.99,2.98,3.23,3.28,3.81
165,3.01,3,3.25,3.30,3.81
170,3.02,3.03,3.27,3.33,3.81
175,3.04,3.06,3.29,3.36,3.81
180,3.05,3.08,3.31,3.40,3.82
185,3.07,3.11,3.34,3.43,3.83
190,3.09,3.13,3.37,3.47,3.84
195,3.11,3.16,3.4,3.51,3.86
200,3.12,3.19,3.42,3.55,3.87
210,3.14,3.26,3.48,3.62,3.89
220,3.17,3.32,3.53,3.70,3.92
230,3.21,3.39,3.58,3.77,3.95
240,3.25,3.45,3.64,3.84,3.97
250,3.35,3.52,3.69,3.88,4
260,3.45,3.58,3.74,3.93,4.03
270,3.55,3.63,3.78,3.96,4.07
280,3.65,3.69,3.83,4.00,4.10
290,3.68,3.74,3.87,4.02,4.15
300,3.71,3.78,3.90,4.04,4.20
320,3.79,3.84,3.95,4.12,4.31
340,3.86,3.88,4.02,4.26,4.44
360,3.92,3.95,4.11,4.41,4.56
380,3.96,4.03,4.21,4.55,4.66
400,3.99,4.11,4.30,4.69,4.75
420,4.02,4.15,4.34,4.73,4.79
440,4.08,4.20,4.39,4.78,4.84
460,4.17,4.29,4.48,4.87,4.93
480,4.28,4.40,4.59,4.98,5.04
500,4.41,4.53,4.72,5.11,5.17
520,4.54,4.66,4.85,5.24,5.30
540,4.65,4.77,4.97,5.36,5.42
560,4.74,4.86,5.05,5.44,5.50
580,4.79,4.91,5.10,5.49,5.55
600,4.82,4.94,5.13,5.52,5.58
